celltype_donor_condition	celltype	Donor	Condition	dataset	celltype_condition
Th17_5_Donor3	Th17_act_5_Donor3	Th17	Donor3	5	K	Th17_5
Th2_5_Donor3	Th2_act_5_Donor3	Th2	Donor3	5	K	Th2_5
Treg_5_Donor3	Treg_5_Donor3	Treg	Donor3	5	K	Treg_5
TEM_act2_5_Donor3	TEM_act2_5_Donor3	CTL	Donor3	5	K	CTL_5
TCM_15_Donor3	TCM_act_15_Donor3	TCM	Donor3	15	L	TCM_15
TCM/TEM_15_Donor3	TCM/TEM_15_Donor3	TCM/TEM	Donor3	15	L	TCM/TEM_15
Th17_15_Donor3	Th17_act_15_Donor3	Th17	Donor3	15	L	Th17_15
Th2_15_Donor3	Th2_act_15_Donor3	Th2	Donor3	15	L	Th2_15
Th1_15_Donor3	Th1_act_15_Donor3	Th1	Donor3	15	L	Th1_15
Naive_15_Donor3	Naive_act_15_Donor3	Naive	Donor3	15	L	Naive_15
TEM_act2_15_Donor3	TEM_act2_15_Donor3	CTL	Donor3	15	L	CTL_15
Treg_15_Donor3	Treg_15_Donor3	Treg	Donor3	15	L	Treg_15
TEM_act_15_Donor3	TEM_act_15_Donor3	MHCII	Donor3	15	L	MHCII_15
Th17_Resting_Donor4	Th17_rest_Resting_Donor4	Th17	Donor4	Resting	M	Th17_Resting
Naive_Resting_Donor4	Naive_rest_Resting_Donor4	Naive	Donor4	Resting	M	Naive_Resting
TEM_act2_Resting_Donor4	TEM_act2_Resting_Donor4	CTL	Donor4	Resting	M	CTL_Resting
TCM_Resting_Donor4	TCM_rest_Resting_Donor4	TCM	Donor4	Resting	M	TCM_Resting
Treg_Resting_Donor4	Treg_Resting_Donor4	Treg	Donor4	Resting	M	Treg_Resting
TEM_act_Resting_Donor4	TEM_act_Resting_Donor4	MHCII	Donor4	Resting	M	MHCII_Resting
Th2_Resting_Donor4	Th2_rest_Resting_Donor4	Th2	Donor4	Resting	M	Th2_Resting
Th1_Resting_Donor4	Th1_rest_Resting_Donor4	Th1	Donor4	Resting	M	Th1_Resting
TCM_2_Donor4	TCM_act_2_Donor4	TCM	Donor4	2	N	TCM_2
Naive_2_Donor4	Naive_act_2_Donor4	Naive	Donor4	2	N	Naive_2
Treg_2_Donor4	Treg_2_Donor4	Treg	Donor4	2	N	Treg_2
TCM/TEM_2_Donor4	TCM/TEM_2_Donor4	TCM/TEM	Donor4	2	N	TCM/TEM_2
Th1_2_Donor4	Th1_act_2_Donor4	Th1	Donor4	2	N	Th1_2
TEM_act2_2_Donor4	TEM_act2_2_Donor4	CTL	Donor4	2	N	CTL_2
Naive_5_Donor4	Naive_act_5_Donor4	Naive	Donor4	5	O	Naive_5
Treg_5_Donor4	Treg_5_Donor4	Treg	Donor4	5	O	Treg_5
TCM_5_Donor4	TCM_act_5_Donor4	TCM	Donor4	5	O	TCM_5
Th1_5_Donor4	Th1_act_5_Donor4	Th1	Donor4	5	O	Th1_5
TCM/TEM_5_Donor4	TCM/TEM_5_Donor4	TCM/TEM	Donor4	5	O	TCM/TEM_5
TEM_act2_5_Donor4	TEM_act2_5_Donor4	CTL	Donor4	5	O	CTL_5
Th17_5_Donor4	Th17_act_5_Donor4	Th17	Donor4	5	O	Th17_5
TCM_15_Donor4	TCM_act_15_Donor4	TCM	Donor4	15	P	TCM_15
TCM/TEM_15_Donor4	TCM/TEM_15_Donor4	TCM/TEM	Donor4	15	P	TCM/TEM_15
Th17_15_Donor4	Th17_act_15_Donor4	Th17	Donor4	15	P	Th17_15
Th2_15_Donor4	Th2_act_15_Donor4	Th2	Donor4	15	P	Th2_15
Naive_15_Donor4	Naive_act_15_Donor4	Naive	Donor4	15	P	Naive_15
Treg_15_Donor4	Treg_15_Donor4	Treg	Donor4	15	P	Treg_15
Th1_15_Donor4	Th1_act_15_Donor4	Th1	Donor4	15	P	Th1_15
TEM_act_15_Donor4	TEM_act_15_Donor4	MHCII	Donor4	15	P	MHCII_15
TEM_act2_15_Donor4	TEM_act2_15_Donor4	CTL	Donor4	15	P	CTL_15
